run_id,timestamp,pipeline_type,test_type,status,duration_seconds
fd7fffb9,2026-05-26 15:27:48,simple,reliable,PASSED,0.58
3b431827,2026-05-26 15:27:49,complex,flaky,PASSED,1.81
96e6fa3f,2026-05-26 15:27:51,simple,reliable,PASSED,0.41
ec89dc0d,2026-05-26 15:27:51,complex,flaky,PASSED,3.16
3fe8be5a,2026-05-26 15:27:54,simple,reliable,PASSED,0.43
c694114b,2026-05-26 15:27:55,complex,flaky,FAILED,3.04
2fad7a38,2026-05-26 15:27:58,simple,reliable,PASSED,0.41
bd945f73,2026-05-26 15:27:58,complex,flaky,PASSED,3.32
31fd05ad,2026-05-26 15:28:01,simple,reliable,PASSED,0.4
96159718,2026-05-26 15:28:02,complex,flaky,PASSED,2.35
780d5afb,2026-05-26 15:28:04,simple,reliable,PASSED,0.44
48f9dc12,2026-05-26 15:28:04,complex,flaky,PASSED,1.59
1deeb893,2026-05-26 15:28:06,simple,reliable,PASSED,0.43
c32701ad,2026-05-26 15:28:06,complex,flaky,PASSED,4.8
09130af0,2026-05-26 15:28:11,simple,reliable,PASSED,0.4
2c50a221,2026-05-26 15:28:12,complex,flaky,PASSED,4.1
95aa54d7,2026-05-26 15:28:16,simple,reliable,PASSED,0.4
26f21108,2026-05-26 15:28:16,complex,flaky,PASSED,2.49
c5568daf,2026-05-26 15:28:19,simple,reliable,PASSED,0.41
6e964965,2026-05-26 15:28:19,complex,flaky,FAILED,5.42
